Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
0aad473c-db91-4f15-9da6-d11011276331,"2020-05-21, 03:23:45 AM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
e0c66d4d-3818-4ad5-a3ba-78b8fa9de556,"2020-05-21, 03:23:09 AM",CloudTrail,ConsoleLogin,,,,us-east-1,,34.93.66.13
1f0682af-0407-4d76-82d6-5fd3d079eeff,"2020-05-21, 03:17:50 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,34.93.66.13
b12bf7ee-bf86-4c04-be97-252c86c8175b,"2020-05-21, 03:17:48 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,34.93.66.13
daa71103-00dd-454d-ac19-c26d0966ac9f,"2020-05-21, 03:17:48 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,34.93.66.13
127ac38c-7cc3-4236-8cc1-7266dbaf80d5,"2020-05-21, 03:17:47 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAZQHCTHHPG4DY57PYQ""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::653310245342:user/CloudTrail""}]",,us-east-1,,34.93.66.13
0b040c7d-65c7-4de0-8b52-464f2d65080b,"2020-05-21, 03:14:59 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,34.93.66.13
6ddd3400-5a2c-41b0-b13b-be7418553e61,"2020-05-21, 03:14:59 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::653310245342:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAZQHCTHHPBFLBF7UNC""}]",,us-east-1,,34.93.66.13
498b918a-8a5a-4aeb-a54f-1624a761342e,"2020-05-21, 03:14:26 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::653310245342:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAZQHCTHHPDSPNLVXNY""}]",,us-east-1,,34.93.66.13
5ff92670-5788-48c1-a30f-3f598cd80ac4,"2020-05-21, 03:14:26 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,34.93.66.13
6c9fd146-5ccb-499c-907b-775a921c5868,"2020-05-21, 03:14:26 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,34.93.66.13
a1af8a6a-dc9c-4bd2-a78e-37315619ddcf,"2020-05-21, 03:04:31 AM",root,PutMetricAlarm,CloudWatch Alarm,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""AWS Billing Alarm""}]",,us-east-1,,34.93.66.13
b925e5e3-5544-4f86-af6e-7eb0164891a2,"2020-05-21, 03:03:32 AM",root,Subscribe,SNS Subscription and 1 more,"[{""resourceType"":""AWS::SNS::Subscription"",""resourceName"":""pending confirmation""},{""resourceType"":""AWS::SNS::Topic"",""resourceName"":""arn:aws:sns:us-east-1:653310245342:Default_CloudWatch_Alarms_Topic""}]",,us-east-1,,34.93.66.13
cf6efdd0-fc73-4e50-91a3-eb78208e6425,"2020-05-21, 03:03:30 AM",root,CreateTopic,SNS Topic,"[{""resourceType"":""AWS::SNS::Topic"",""resourceName"":""arn:aws:sns:us-east-1:653310245342:Default_CloudWatch_Alarms_Topic""}]",,us-east-1,,34.93.66.13
4685c077-1c4b-4eed-91d2-5029aab49dfa,"2020-05-21, 03:00:11 AM",root,EnableBillingAlerts,,,,us-east-1,,34.93.66.13
8a479754-2020-43e1-8cc0-c76de638ab97,"2020-05-21, 03:00:08 AM",root,SetAccountPreferences,,,,us-east-1,,34.93.66.13
53b1a1c6-888b-4748-a913-3b62a6e5e048,"2020-05-21, 02:59:55 AM",root,GetFreeTierAlertPreference,,,,us-east-1,,34.93.66.13
ca06c825-0298-4a49-9f21-4bf1c7f5814e,"2020-05-21, 02:52:13 AM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,34.93.66.13
6ed9a507-1540-48d3-836a-c68b204f2cb9,"2020-05-21, 01:54:24 AM",root,ConsoleLogin,,,,us-east-1,,34.93.66.13
